decoy_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr7_6052706_6052707	5	0.0470542	0.684653	15.2521	-6	8	0.072934	0.879883	7.71103	-14	0	0	0	0	0	1	0.00980296	0.3	96.0099	-46	2	0.0194099	0.426401	45.5202	-8	4	0.0380355	0.609208	20.2912	-48	1	0.00980296	0.3	96.0099	-47	0	0	0	0	0	1	0.00980296	0.3	96.0099	-25	0	0	0	0	0	1	0.00980296	0.3	96.0099	-24
chr7_6146936_6146937	5	0.0470542	0.684653	15.2521	-48	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	3	0.0288207	0.524891	28.6973	4	1	0.00980296	0.3	96.01	-4	2	0.0194099	0.426401	45.5202	-39	0	0	0	0	0	1	0.00980296	0.3	96.0099	-34	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0
chr7_6158246_6158247	6	0.0558769	0.753937	11.8965	-43	1	0.00980296	0.3	96.01	47	81	2.39643	1.55418	35.9269	-6	2	0.0194099	0.426401	45.5202	-24	1	0.00980296	0.3	96.01	-10	3	0.0288207	0.524891	28.6973	-1	1	0.00980296	0.3	96.0099	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_6388648_6388649	2	0.0194099	0.426401	45.5202	-32	4	0.0380355	0.609208	20.2912	41	1	0.00980296	0.3	96.0099	-13	3	0.0288207	0.524891	28.6973	-43	6	0.0558769	0.753937	11.8965	34	8	0.072934	0.879883	7.71103	-2	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.01	26	0	0	0	0	0	1	0.00980296	0.3	96.0099	-26	1	0.00980296	0.3	96.01	11
chr7_6427272_6427273	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-48	0	0	0	0	0	2	0.0392119	0.3	96.0099	-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_6433401_6433402	0	0	0	0	0	7	0.0645035	0.818665	9.50303	-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	25	0	0	0	0	0	2	0.0194099	0.426401	45.5202	11	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-40	1	0.00980296	0.3	96.01	0
chr7_6509548_6509549	1	0.00980296	0.3	96.0099	-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_6516890_6516891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_6693656_6693657	3	0.0288207	0.524891	28.6973	-1	3	0.0288207	0.524891	28.6973	-48	1	0.00980296	0.3	96.01	20	8	0.092736	0.780307	17.6412	37	2	0.0194099	0.426401	45.5202	5	8	0.092736	0.780307	17.6412	-8	0	0	0	0	0	6	0.0756789	0.647834	26.9316	-44	0	0	0	0	0	2	0.0194099	0.426401	45.5202	26	0	0	0	0	0
chr7_7235816_7235817	15	0.185864	1.03346	17.7686	-5	9	0.10097	0.841289	14.6347	-46	9	0.0811685	0.938315	6.32005	-11	15	0.205666	0.982448	16.4665	-48	6	0.0558769	0.753937	11.8965	-46	2	0.0194099	0.426401	45.5202	-48	3	0.0288207	0.524891	28.6973	-48	62	1.95981	1.31548	28.8593	-48	0	0	0	0	0	14	0.139202	1.11456	6.52613	-47	13	0.329968	0.672214	49.6366	-48
chr7_7359746_7359747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_7371378_7371379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_7439798_7439799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_7535655_7535656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_7573834_7573835	10	0.109009	0.89964	12.2811	-16	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-26	59	0.797373	1.96255	0.591909	-45	3	0.0288207	0.524891	28.6973	-48	12	0.124498	1.01018	8.86288	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.01	-11
chr7_7575120_7575121	0	0	0	0	0	7	0.0843055	0.716094	21.5852	9	1	0.00980296	0.3	96.0099	-14	2	0.0194099	0.426401	45.5202	-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-17	0	0	0	0	0	1	0.00980296	0.3	96.01	11	1	0.00980296	0.3	96.0099	-20
chr7_7606654_7606655	1	0.00980296	0.3	96.01	16	1	0.00980296	0.3	96.01	33	0	0	0	0	0	1	0.00980296	0.3	96.01	8	1	0.00980296	0.3	96.01	24	2	0.0194099	0.426401	45.5202	-7	0	0	0	0	0	1	0.00980296	0.3	96.01	11	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	16
chr7_8140184_8140185	1	0.00980296	0.3	96.0099	-41	0	0	0	0	0	1	0.00980296	0.3	96.0099	-36	1	0.00980296	0.3	96.01	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_8141380_8141381	4	0.0380355	0.609208	20.2912	-48	1	0.00980296	0.3	96.01	-10	3	0.0288207	0.524891	28.6973	0	16	0.172924	1.14286	6.62792	42	1	0.00980296	0.3	96.01	17	4	0.0380355	0.609208	20.2912	2	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-38	0	0	0	0	0	1	0.00980296	0.3	96.01	1	0	0	0	0	0
chr7_10986738_10986739	5	0.0470542	0.684653	15.2521	7	16	0.153122	1.21451	4.84553	9	0	0	0	0	0	6	0.0756789	0.647834	26.9316	13	2	0.0194099	0.426401	45.5202	-44	14	0.198608	0.933103	18.0917	6	4	0.0380355	0.609208	20.2912	7	1	0.00980296	0.3	96.01	5	0	0	0	0	0	5	0.0668562	0.57438	34.4861	-48	5	0.10646	0.455173	64.6305	7
chr7_10992532_10992533	0	0	0	0	0	1	0.00980296	0.3	96.0099	-20	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-20	1	0.00980296	0.3	96.0099	-23	1	0.00980296	0.3	96.01	47	1	0.00980296	0.3	96.0099	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_11039796_11039797	5	0.0470542	0.684653	15.2521	-8	7	0.0843055	0.716094	21.5852	10	20	0.337026	1.02329	18.3429	7	26	0.270366	1.48524	6.8234	-46	3	0.0288207	0.524891	28.6973	-27	2	0.0194099	0.426401	45.5202	-9	3	0.0288207	0.524891	28.6973	15	7	0.0843055	0.716094	21.5852	-8	0	0	0	0	0	6	0.0558769	0.753937	11.8965	14	2	0.0194099	0.426401	45.5202	-35
chr7_11419627_11419628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_11446605_11446606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_11461563_11461564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_12217206_12217207	3	0.0288207	0.524891	28.6973	13	0	0	0	0	0	7	0.0843055	0.716094	21.5852	8	2	0.0194099	0.426401	45.5202	-8	2	0.0194099	0.426401	45.5202	2	1	0.00980296	0.3	96.01	43	0	0	0	0	0	1	0.00980296	0.3	96.01	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_12219975_12219976	3	0.0288207	0.524891	28.6973	-48	4	0.0380355	0.609208	20.2912	-48	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_12337711_12337712	7	0.0645035	0.818665	9.50304	-21	2	0.0194099	0.426401	45.5202	-29	0	0	0	0	0	23	0.215469	1.47175	2.69509	-28	1	0.00980296	0.3	96.0099	-28	1	0.00980296	0.3	96.0099	-13	0	0	0	0	0	1	0.00980296	0.3	96.01	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_12352677_12352678	27	0.314675	1.42966	2.88025	-20	4	0.0380355	0.609208	20.2912	-37	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-30	11	0.116851	0.955819	10.3978	2	6	0.0756789	0.647834	26.9316	12	0	0	0	0	0	7	0.0645035	0.818665	9.50303	34	1	0.00980296	0.3	96.0099	-48	3	0.0288207	0.524891	28.6973	-48	1	0.00980296	0.3	96.0099	-48
chr7_12366071_12366072	6	0.0558769	0.753937	11.8965	-48	4	0.0578375	0.494032	45.7523	-2	0	0	0	0	0	3	0.0288207	0.524891	28.6973	10	2	0.0194099	0.426401	45.5202	-48	3	0.0288207	0.524891	28.6973	-48	0	0	0	0	0	1	0.00980296	0.3	96.0099	-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_12538758_12538759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	43	0	0	0	0	0
chr7_13897852_13897853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_13908659_13908660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-12	0	0	0	0	0	1	0.00980296	0.3	96.01	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_14626247_14626248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_14694786_14694787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_15561665_15561666	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_16533236_16533237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_16799083_16799084	1	0.00980296	0.3	96.0099	-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_17340507_17340508	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-29	3	0.0288207	0.524891	28.6973	-39	1	0.00980296	0.3	96.01	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	29
chr7_17449462_17449463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_17801288_17801289	1	0.00980296	0.3	96.01	29	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-34	69	2.09764	1.41509	16.3522	48	2	0.0194099	0.426401	45.5202	-45	8	0.13234	0.653197	40.1773	-7	0	0	0	0	0	3	0.0288207	0.524891	28.6973	27	0	0	0	0	0	5	0.0470542	0.684653	15.2521	26	0	0	0	0	0
chr7_17802197_17802198	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-43	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-48	0	0	0	0	0	1	0.00980296	0.3	96.0099	-30	1	0.00980296	0.3	96.01	11
chr7_17802203_17802204	3	0.0288207	0.524891	28.6973	-46	0	0	0	0	0	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-37	0	0	0	0	0	1	0.00980296	0.3	96.0099	-45	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-44	0	0	0	0	0	1	0.00980296	0.3	96.0099	-24	1	0.00980296	0.3	96.01	17
chr7_17818171_17818172	6	0.0756789	0.647834	26.9316	7	3	0.0288207	0.524891	28.6973	-37	46	0.564847	1.81799	2.29276	13	18	0.18606	1.2395	5.15132	6	0	0	0	0	0	1	0.00980296	0.3	96.01	37	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-23	0	0	0	0	0	13	0.15175	0.991241	9.78485	15	1	0.00980296	0.3	96.01	48
chr7_17819962_17819963	1	0.00980296	0.3	96.0099	-37	4	0.0380355	0.609208	20.2912	-15	4	0.0380355	0.609208	20.2912	13	5	0.0470542	0.684653	15.2521	21	1	0.00980296	0.3	96.0099	-46	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-18	0	0	0	0	0	1	0.00980296	0.3	96.0099	-44	1	0.00980296	0.3	96.01	46
chr7_17829257_17829258	8	0.072934	0.879883	7.71103	22	6	0.0558769	0.753937	11.8965	48	4	0.0380355	0.609208	20.2912	-46	42	1.0746	1.20344	18.1915	48	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-20	0	0	0	0	0	8	0.072934	0.879883	7.71103	-23	0	0	0	0	0	10	0.128811	0.827606	14.9503	22	2	0.0194099	0.426401	45.5202	20
chr7_17833803_17833804	5	0.0470542	0.684653	15.2521	21	4	0.0380355	0.609208	20.2912	19	0	0	0	0	0	62	0.870699	1.97359	2.35606	19	5	0.0470542	0.684653	15.2521	-29	5	0.0668562	0.57438	34.486	-48	0	0	0	0	0	1	0.00980296	0.3	96.01	15	0	0	0	0	0	5	0.0470542	0.684653	15.2521	19	3	0.0288207	0.524891	28.6973	-41
chr7_17848646_17848647	12	0.1443	0.938315	11.2121	12	2	0.0194099	0.426401	45.5202	-31	4	0.0578375	0.494032	45.7523	-38	3	0.0486227	0.404112	63.8267	-12	3	0.0288207	0.524891	28.6973	-30	0	0	0	0	0	1	0.00980296	0.3	96.01	10	0	0	0	0	0	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-12	1	0.00980296	0.3	96.01	13
chr7_17868681_17868682	2	0.0194099	0.426401	45.5202	19	1	0.00980296	0.3	96.0099	-47	1	0.00980296	0.3	96.0099	-48	29	0.660131	1.06019	24.1427	48	1	0.00980296	0.3	96.01	45	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-47	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-46	0	0	0	0	0
chr7_17895869_17895870	3	0.0288207	0.524891	28.6973	-42	1	0.00980296	0.3	96.0099	-37	9	0.180178	0.629783	27.4513	-15	12	0.164102	0.879883	12.1503	-13	3	0.0288207	0.524891	28.6973	-25	1	0.00980296	0.3	96.0099	-16	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-35	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-10	1	0.00980296	0.3	96.01	43
chr7_18585678_18585679	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_18631316_18631317	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_18645173_18645174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_18646727_18646728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_18648228_18648229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_19727722_19727723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_20402484_20402485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_20786386_20786387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21560707_21560708	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21569664_21569665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21617209_21617210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	39	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-15	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21619522_21619523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21684654_21684655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21706698_21706699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21715681_21715682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21746991_21746992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21786469_21786470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21786594_21786595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21787649_21787650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21788027_21788028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21816923_21816924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21853410_21853411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21893155_21893156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_21898739_21898740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_22154906_22154907	7	0.0843055	0.716094	21.5852	-32	2	0.0194099	0.426401	45.5202	-31	2	0.0194099	0.426401	45.5202	13	6	0.0558769	0.753937	11.8965	-27	1	0.00980296	0.3	96.01	-12	1	0.00980296	0.3	96.0099	-20	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_22166702_22166703	6	0.0558769	0.753937	11.8965	24	3	0.0288207	0.524891	28.6973	-44	2	0.0194099	0.426401	45.5202	-40	16	0.13332	1.30158	1.50073	-11	1	0.00980296	0.3	96.01	43	1	0.00980296	0.3	96.01	2	0	0	0	0	0	5	0.0668562	0.57438	34.4861	41	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-12	2	0.0194099	0.426401	45.5202	-46
chr7_23146138_23146139	0	0	0	0	0	1	0.00980296	0.3	96.0099	-38	45	0.563866	1.78002	4.72345	-10	2	0.0194099	0.426401	45.5202	-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-43	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-43	0	0	0	0	0
chr7_23184989_23184990	0	0	0	0	0	1	0.00980296	0.3	96.0099	-22	1	0.00980296	0.3	96.0099	-43	0	0	0	0	0	1	0.00980296	0.3	96.0099	-31	1	0.00980296	0.3	96.01	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23248595_23248596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23260206_23260207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23264285_23264286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23266905_23266906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23268422_23268423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7_23313468_23313469	7	0.0645035	0.818665	9.50303	-41	4	0.0380355	0.609208	20.2912	38	1	0.00980296	0.3	96.0099	-14	8	0.072934	0.879883	7.71103	-48	1	0.00980296	0.3	96.01	9	45	0.80149	1.49301	9.16501	-22	1	0.00980296	0.3	96.0099	-25	3	0.0288207	0.524891	28.6973	42	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-46	0	0	0	0	0
chr7_23318866_23318867	18	0.18606	1.2395	5.15132	18	1	0.00980296	0.3	96.01	-12	1	0.00980296	0.3	96.01	10	18	0.205862	1.17838	6.01914	-9	3	0.0288207	0.524891	28.6973	-28	11	0.116851	0.955819	10.3978	40	0	0	0	0	0	1	0.00980296	0.3	96.01	30	0	0	0	0	0	4	0.0380355	0.609208	20.2912	39	3	0.0288207	0.524891	28.6973	-30
